Zeuge / Referenz,korrigierte URI (oder leer),Status,Vorkommen
faust://inscription/faustedition/2_V_H.3/alpha,,unknown-inscription,"handschriftendatierung_v.xml:106, handschriftendatierung_v.xml:131, wa/15_2/V.xml:36"
faust://inscription/faustedition/2_V_H.32a/alpha,,unknown-inscription,wa/15_2/V.xml:271
faust://inscription/faustedition/2_V_H.8/i_uebrige,,unknown-inscription,"handschriftendatierung_v.xml:178, handschriftendatierung_v.xml:198, handschriftendatierung_v.xml:335, handschriftendatierung_v.xml:358, handschriftendatierung_v.xml:365, handschriftendatierung_v.xml:374, handschriftendatierung_v.xml:383, handschriftendatierung_v.xml:391, handschriftendatierung_v.xml:397, handschriftendatierung_v.xml:402, handschriftendatierung_v.xml:410, handschriftendatierung_v.xml:418, handschriftendatierung_v.xml:426, handschriftendatierung_v.xml:434, handschriftendatierung_v.xml:480, handschriftendatierung_v.xml:619, handschriftendatierung_v.xml:1110"
faust://inscription/faustedition/H_P106/i_v,,unknown-inscription,"handschriftendatierung_i.xml:466, handschriftendatierung_i.xml:472, handschriftendatierung_i.xml:786"
faust://inscription/faustedition/H_P176_Var/i_r,,unknown-inscription,"handschriftendatierung_iii.xml:944, handschriftendatierung_iii.xml:951"
1_H.12,,(ok),handschriftendatierung_pre1800.xml:34
1_H.13,,(ok),handschriftendatierung_pre1800.xml:50
1_H.14,,(ok),handschriftendatierung_pre1800.xml:43
1_H.15,,(ok),"handschriftendatierung_pre1800.xml:584, handschriftendatierung_pre1800.xml:592"
1_H.16,,(ok),handschriftendatierung_pre1800.xml:58
1_H.17,,(ok),handschriftendatierung_pre1800.xml:65
1_H.3,,(ok),"handschriftendatierung_pre1800.xml:18, print.xml:22"
1_H.4,,(ok),"handschriftendatierung_pre1800.xml:525, handschriftendatierung_uncertain.xml:33, print.xml:27"
1_H.5,,(ok),"handschriftendatierung_pre1800.xml:10, print.xml:7"
