Zeuge / Referenz,korrigierte URI (oder leer),Status,Vorkommen
2_I_H.24,,(ok),"handschriftendatierung_i.xml:229, handschriftendatierung_i.xml:235, wa/15_2/I.xml:150, wa/15_2/I.xml:168"
2_I_H.24b,,(ok),handschriftendatierung_i.xml:759
2_I_H.24c,,(ok),"wa/15_2/I.xml:163, wa/15_2/I.xml:169"
2_I_H.25,,(ok),"handschriftendatierung_i.xml:245, handschriftendatierung_i.xml:250, handschriftendatierung_i.xml:267, wa/15_2/I.xml:158"
2_I_H.26,,(ok),"handschriftendatierung_i.xml:251, handschriftendatierung_i.xml:260, handschriftendatierung_i.xml:268, handschriftendatierung_i.xml:274, wa/15_2/I.xml:159"
2_I_H.27,,(ok),"handschriftendatierung_i.xml:275, wa/15_2/I.xml:157"
2_I_H.28,,(ok),"wa/15_2/I.xml:178, wa/15_2/I.xml:184"
2_I_H.29,,(ok),"handschriftendatierung_i.xml:283, wa/15_2/I.xml:183, wa/15_2/I.xml:188, wa/15_2/I.xml:198"
2_I_H.3,,(ok),handschriftendatierung_i.xml:17
2_I_H.30,,(ok),"wa/15_2/I.xml:193, wa/15_2/I.xml:215, wa/15_2/I.xml:227"
2_I_H.31,,(ok),"handschriftendatierung_i.xml:291, wa/15_2/I.xml:199, wa/15_2/I.xml:203"
2_I_H.32,,(ok),"handschriftendatierung_ii.xml:8, wa/15_2/I.xml:204, wa/15_2/I.xml:216, wa/15_2/I.xml:246, wa/15_2/I.xml:254, wa/15_2/I.xml:259, wa/15_2/I.xml:283, wa/15_2/I.xml:294, wa/15_2/I.xml:300"
2_I_H.33,,(ok),"handschriftendatierung_i.xml:308, handschriftendatierung_i.xml:314, wa/15_2/I.xml:209"
2_I_H.34,,(ok),"handschriftendatierung_i.xml:322, wa/15_2/I.xml:214"
2_I_H.34a,,(ok),"handschriftendatierung_i.xml:329, handschriftendatierung_i.xml:334"
2_I_H.35,,(ok),"handschriftendatierung_i.xml:342, handschriftendatierung_i.xml:350, handschriftendatierung_ii.xml:16, wa/15_2/I.xml:222, wa/15_2/I.xml:228, wa/15_2/I.xml:234"
2_I_H.36,,(ok),"handschriftendatierung_i.xml:358, handschriftendatierung_i.xml:363, wa/15_2/I.xml:221, wa/15_2/I.xml:271, wa/15_2/I.xml:277, wa/15_2/I.xml:291"
2_I_H.37,,(ok),"handschriftendatierung_i.xml:349, handschriftendatierung_i.xml:371, handschriftendatierung_i.xml:378, handschriftendatierung_ii.xml:9, handschriftendatierung_ii.xml:15, wa/15_2/I.xml:247, wa/15_2/I.xml:260"
2_I_H.38,,(ok),"handschriftendatierung_i.xml:386, handschriftendatierung_i.xml:392, wa/15_2/I.xml:245, wa/15_2/I.xml:253, wa/15_2/I.xml:304, wa/15_2/I.xml:322"
2_I_H.39,,(ok),"handschriftendatierung_i.xml:401, handschriftendatierung_i.xml:407"
2_I_H.4,,(ok),"handschriftendatierung_i.xml:22, wa/15_2/I.xml:28, wa/15_2/I.xml:61"
2_I_H.40,,(ok),"handschriftendatierung_i.xml:416, handschriftendatierung_i.xml:421, wa/15_2/I.xml:220"
2_I_H.41,,(ok),"handschriftendatierung_i.xml:430, handschriftendatierung_i.xml:436, wa/15_2/I.xml:233, wa/15_2/I.xml:239"
2_I_H.41a,,(ok),"wa/15_2/I.xml:272, wa/15_2/I.xml:284"
2_I_H.42,,(ok),"handschriftendatierung_i.xml:445, handschriftendatierung_i.xml:452, wa/15_2/I.xml:292"
2_I_H.43,,(ok),"wa/15_2/I.xml:305, wa/15_2/I.xml:315, wa/15_2/I.xml:323"
2_I_H.43a,,(ok),"wa/15_2/I.xml:309, wa/15_2/I.xml:316, wa/15_2/I.xml:324"
2_I_H.44,,(ok),wa/15_2/I.xml:329
2_I_H.45,,(ok),"handschriftendatierung_i.xml:487, wa/15_2/I.xml:328, wa/15_2/I.xml:335"
2_I_H.46,,(ok),"handschriftendatierung_i.xml:495, wa/15_2/I.xml:340"
2_I_H.47,,(ok),"handschriftendatierung_i.xml:502, handschriftendatierung_i.xml:509, handschriftendatierung_i.xml:656, wa/15_2/I.xml:346, wa/15_2/I.xml:351, wa/15_2/I.xml:360, wa/15_2/I.xml:376"
2_I_H.48,,(ok),"handschriftendatierung_i.xml:517, handschriftendatierung_i.xml:532, wa/15_2/I.xml:345, wa/15_2/I.xml:355, wa/15_2/I.xml:366, wa/15_2/I.xml:428, wa/15_2/I.xml:434"
2_I_H.49,,(ok),"handschriftendatierung_i.xml:524, handschriftendatierung_i.xml:531, wa/15_2/I.xml:350, wa/15_2/I.xml:365, wa/15_2/I.xml:371"
2_I_H.5,,(ok),handschriftendatierung_i.xml:34
2_I_H.50,,(ok),"handschriftendatierung_i.xml:525, handschriftendatierung_i.xml:548, wa/15_2/I.xml:370"
2_I_H.50a,,(ok),"handschriftendatierung_i.xml:508, handschriftendatierung_i.xml:649, handschriftendatierung_i.xml:655, wa/15_2/I.xml:375"
2_I_H.50b,,(ok),"handschriftendatierung_i.xml:541, handschriftendatierung_i.xml:547"
2_I_H.51,,(ok),"wa/15_2/I.xml:380, wa/15_2/I.xml:385"
2_I_H.52,,(ok),"handschriftendatierung_i.xml:556, handschriftendatierung_i.xml:564, wa/15_2/I.xml:386, wa/15_2/I.xml:390"
2_I_H.53,,(ok),"handschriftendatierung_i.xml:557, handschriftendatierung_i.xml:565, wa/15_2/I.xml:391"
2_I_H.54,,(ok),"handschriftendatierung_i.xml:572, handschriftendatierung_i.xml:580, wa/15_2/I.xml:396"
2_I_H.55,,(ok),"handschriftendatierung_i.xml:573, handschriftendatierung_i.xml:581, wa/15_2/I.xml:397"
2_I_H.56,,(ok),"fischer-lamberg/II.xml:86, fischer-lamberg/II.xml:123, fischer-lamberg/II.xml:141, fischer-lamberg/II.xml:159, fischer-lamberg/II.xml:922, handschriftendatierung_i.xml:589, handschriftendatierung_i.xml:612, handschriftendatierung_i.xml:627, handschriftendatierung_i.xml:642, wa/15_2/I.xml:403, wa/15_2/I.xml:407, wa/15_2/I.xml:417, wa/15_2/I.xml:424, wa/15_2/I.xml:435"
2_I_H.57,,(ok),"handschriftendatierung_i.xml:597, wa/15_2/I.xml:402"
2_I_H.58,,(ok),"handschriftendatierung_i.xml:605, handschriftendatierung_i.xml:611, wa/15_2/I.xml:412, wa/15_2/I.xml:418"
2_I_H.59,,(ok),"handschriftendatierung_i.xml:621, handschriftendatierung_i.xml:628, wa/15_2/I.xml:423"
2_I_H.6,,(ok),handschriftendatierung_i.xml:42
2_I_H.60,,(ok),"handschriftendatierung_i.xml:635, handschriftendatierung_i.xml:641, wa/15_2/I.xml:429"
2_I_H.7,,(ok),"handschriftendatierung_i.xml:50, wa/15_2/I.xml:34"
2_I_H.8,,(ok),handschriftendatierung_i.xml:57
2_I_H.9e_,,(ok),wa/15_2/I.xml:40
2_I_H.9i_,,(ok),wa/15_2/I.xml:41
2_I_H.9k,,(ok),handschriftendatierung_i.xml:104
2_I_H.9n_,,(ok),"wa/15_2/I.xml:45, wa/15_2/I.xml:55"
2_I_H.9p_,,(ok),handschriftendatierung_i.xml:666
2_V_H.0a,,(ok),"handschriftendatierung_v.xml:1846, handschriftendatierung_v.xml:1853, handschriftendatierung_v.xml:1859, handschriftendatierung_v.xml:1867, handschriftendatierung_v.xml:1879"
2_V_H.0b,,(ok),"handschriftendatierung_v.xml:1874, handschriftendatierung_v.xml:1880, handschriftendatierung_v.xml:1886, handschriftendatierung_v.xml:1891"
2_V_H.0c,,(ok),handschriftendatierung_v.xml:10
2_V_H.1,,(ok),"handschriftendatierung_v.xml:24, wa/15_2/V.xml:13, wa/15_2/V.xml:18, wa/15_2/V.xml:24, wa/15_2/V.xml:31"
2_V_H.10,,(ok),"handschriftendatierung_v.xml:169, handschriftendatierung_v.xml:497, handschriftendatierung_v.xml:504, handschriftendatierung_v.xml:513, handschriftendatierung_v.xml:520, handschriftendatierung_v.xml:622, wa/15_2/V.xml:65, wa/15_2/V.xml:70"
2_V_H.11,,(ok),"handschriftendatierung_v.xml:527, handschriftendatierung_v.xml:542, handschriftendatierung_v.xml:563, handschriftendatierung_v.xml:586, handschriftendatierung_v.xml:623"
2_V_H.13,,(ok),"wa/15_2/V.xml:81, wa/15_2/V.xml:91, wa/15_2/V.xml:99"
2_V_H.14,,(ok),"handschriftendatierung_pre1800.xml:430, handschriftendatierung_v.xml:657, handschriftendatierung_v.xml:665, handschriftendatierung_v.xml:673, handschriftendatierung_v.xml:680, handschriftendatierung_v.xml:688, wa/15_2/V.xml:85, wa/15_2/V.xml:92"
2_V_H.15,,(ok),"handschriftendatierung_v.xml:648, handschriftendatierung_v.xml:696, handschriftendatierung_v.xml:703, handschriftendatierung_v.xml:710, handschriftendatierung_v.xml:712, wa/15_2/V.xml:98"
2_V_H.16,,(ok),"handschriftendatierung_v.xml:720, handschriftendatierung_v.xml:727, handschriftendatierung_v.xml:735, handschriftendatierung_v.xml:741, handschriftendatierung_v.xml:749"
2_V_H.17,,(ok),"wa/15_2/V.xml:103, wa/15_2/V.xml:110"
2_V_H.18,,(ok),"handschriftendatierung_v.xml:831, handschriftendatierung_v.xml:839, wa/15_2/V.xml:109, wa/15_2/V.xml:114"
2_V_H.19,,(ok),"handschriftendatierung_v.xml:845, handschriftendatierung_v.xml:852, handschriftendatierung_v.xml:858, handschriftendatierung_v.xml:865, handschriftendatierung_v.xml:880, handschriftendatierung_v.xml:1096, wa/15_2/V.xml:122, wa/15_2/V.xml:126"
2_V_H.1a,,(ok),"handschriftendatierung_v.xml:49, handschriftendatierung_v.xml:1902, handschriftendatierung_v.xml:1909, handschriftendatierung_v.xml:1915, handschriftendatierung_v.xml:1922, wa/15_2/V.xml:30"
2_V_H.2,,(ok),"handschriftendatierung_v.xml:29, handschriftendatierung_v.xml:69, handschriftendatierung_v.xml:84, handschriftendatierung_v.xml:89, handschriftendatierung_v.xml:94, handschriftendatierung_v.xml:100, handschriftendatierung_v.xml:139, handschriftendatierung_v.xml:210, handschriftendatierung_v.xml:223, handschriftendatierung_v.xml:265, handschriftendatierung_v.xml:318, handschriftendatierung_v.xml:411, handschriftendatierung_v.xml:521, handschriftendatierung_v.xml:543, handschriftendatierung_v.xml:571, handschriftendatierung_v.xml:595, handschriftendatierung_v.xml:627, handschriftendatierung_v.xml:734, handschriftendatierung_v.xml:775, handschriftendatierung_v.xml:825, handschriftendatierung_v.xml:866, handschriftendatierung_v.xml:888, handschriftendatierung_v.xml:921, handschriftendatierung_v.xml:943, handschriftendatierung_v.xml:974, handschriftendatierung_v.xml:1028, handschriftendatierung_v.xml:1036, handschriftendatierung_v.xml:1082, handschriftendatierung_v.xml:1102, handschriftendatierung_v.xml:1160, handschriftendatierung_v.xml:1168, handschriftendatierung_v.xml:1202, handschriftendatierung_v.xml:1210, handschriftendatierung_v.xml:1247, handschriftendatierung_v.xml:1286, handschriftendatierung_v.xml:1370, handschriftendatierung_v.xml:1382, handschriftendatierung_v.xml:1419, handschriftendatierung_v.xml:1467, handschriftendatierung_v.xml:1474, handschriftendatierung_v.xml:1481, handschriftendatierung_v.xml:1507, handschriftendatierung_v.xml:1513, handschriftendatierung_v.xml:1519, handschriftendatierung_v.xml:1561, wa/15_2/V.xml:50, wa/15_2/V.xml:56, wa/15_2/V.xml:61, wa/15_2/V.xml:66, wa/15_2/V.xml:76, wa/15_2/V.xml:86, wa/15_2/V.xml:93, wa/15_2/V.xml:104, wa/15_2/V.xml:115, wa/15_2/V.xml:127, wa/15_2/V.xml:142, wa/15_2/V.xml:158, wa/15_2/V.xml:164, wa/15_2/V.xml:170, wa/15_2/V.xml:175, wa/15_2/V.xml:197, wa/15_2/V.xml:208, wa/15_2/V.xml:224, wa/15_2/V.xml:237"
2_V_H.20,,(ok),"handschriftendatierung_v.xml:851, handschriftendatierung_v.xml:872, handschriftendatierung_v.xml:879, handschriftendatierung_v.xml:887, handschriftendatierung_v.xml:906, wa/15_2/V.xml:121, wa/15_2/V.xml:140"
2_V_H.21,,(ok),"handschriftendatierung_v.xml:894, handschriftendatierung_v.xml:899, handschriftendatierung_v.xml:907, handschriftendatierung_v.xml:915, handschriftendatierung_v.xml:920, handschriftendatierung_v.xml:934, handschriftendatierung_v.xml:1073, wa/15_2/V.xml:134, wa/15_2/V.xml:141, wa/15_2/V.xml:163"
2_V_H.22,,(ok),"handschriftendatierung_v.xml:914, handschriftendatierung_v.xml:928, handschriftendatierung_v.xml:933, handschriftendatierung_v.xml:942, handschriftendatierung_v.xml:1012, wa/15_2/V.xml:132, wa/15_2/V.xml:162"
2_V_H.23,,(ok),"handschriftendatierung_v.xml:952, handschriftendatierung_v.xml:960, handschriftendatierung_v.xml:966, handschriftendatierung_v.xml:973, handschriftendatierung_v.xml:1137, handschriftendatierung_v.xml:1193, wa/15_2/V.xml:133, wa/15_2/V.xml:206"
2_V_H.24,,(ok),wa/15_2/V.xml:218
2_V_H.25,,(ok),"handschriftendatierung_v.xml:180, handschriftendatierung_v.xml:435, handschriftendatierung_v.xml:490, handschriftendatierung_v.xml:859, handschriftendatierung_v.xml:1089, handschriftendatierung_v.xml:1095, handschriftendatierung_v.xml:1101, handschriftendatierung_v.xml:1109, handschriftendatierung_v.xml:1117, handschriftendatierung_v.xml:1230, handschriftendatierung_v.xml:1268, handschriftendatierung_v.xml:1307, wa/15_2/V.xml:152, wa/15_2/V.xml:182, wa/15_2/V.xml:191"
2_V_H.26,,(ok),"wa/15_2/V.xml:169, wa/15_2/V.xml:207"
2_V_H.26a,,(ok),"handschriftendatierung_v.xml:818, handschriftendatierung_v.xml:1152, handschriftendatierung_v.xml:1931, handschriftendatierung_v.xml:1938, wa/15_2/V.xml:174"
2_V_H.27,,(ok),"handschriftendatierung_v.xml:1218, handschriftendatierung_v.xml:1223, handschriftendatierung_v.xml:1231, handschriftendatierung_v.xml:1238, handschriftendatierung_v.xml:1246, handschriftendatierung_v.xml:1277, handschriftendatierung_v.xml:1345, handschriftendatierung_v.xml:1357, wa/15_2/V.xml:180"
2_V_H.28,,(ok),"handschriftendatierung_v.xml:1239, handschriftendatierung_v.xml:1253, handschriftendatierung_v.xml:1261, handschriftendatierung_v.xml:1269, handschriftendatierung_v.xml:1278, handschriftendatierung_v.xml:1285, handschriftendatierung_v.xml:1320, handschriftendatierung_v.xml:1333, wa/15_2/V.xml:186"
2_V_H.29,,(ok),"wa/15_2/V.xml:187, wa/15_2/V.xml:192, wa/15_2/V.xml:196"
2_V_H.3,,(ok),"handschriftendatierung_v.xml:108, handschriftendatierung_v.xml:114, handschriftendatierung_v.xml:121, handschriftendatierung_v.xml:132, handschriftendatierung_v.xml:138, handschriftendatierung_v.xml:146, handschriftendatierung_v.xml:295, handschriftendatierung_v.xml:373, handschriftendatierung_v.xml:615, wa/15_2/V.xml:38"
2_V_H.30,,(ok),"handschriftendatierung_v.xml:1391, handschriftendatierung_v.xml:1397, handschriftendatierung_v.xml:1403, handschriftendatierung_v.xml:1409, handschriftendatierung_v.xml:1418, handschriftendatierung_v.xml:1500, handschriftendatierung_v.xml:1951, wa/15_2/V.xml:201, wa/15_2/V.xml:213, wa/15_2/V.xml:231"
2_V_H.31,,(ok),"wa/15_2/V.xml:202, wa/15_2/V.xml:236"
2_V_H.31a,,(ok),handschriftendatierung_v.xml:1945
2_V_H.32,,(ok),"handschriftendatierung_v.xml:1020, handschriftendatierung_v.xml:1186, handschriftendatierung_v.xml:1460, handschriftendatierung_v.xml:1525, handschriftendatierung_v.xml:1532, handschriftendatierung_v.xml:1538, handschriftendatierung_v.xml:1545, handschriftendatierung_v.xml:1552, handschriftendatierung_v.xml:1560, wa/15_2/V.xml:219, wa/15_2/V.xml:223, wa/15_2/V.xml:230, wa/15_2/V.xml:235"
2_V_H.32a,,(ok),"wa/15_2/V.xml:242, wa/15_2/V.xml:263, wa/15_2/V.xml:270, wa/15_2/V.xml:277"
2_V_H.33,,(ok),"wa/15_2/V.xml:247, wa/15_2/V.xml:253, wa/15_2/V.xml:258, wa/15_2/V.xml:264, wa/15_2/V.xml:272, wa/15_2/V.xml:278"
2_V_H.34,,(ok),"handschriftendatierung_v.xml:1591, handschriftendatierung_v.xml:1687, handschriftendatierung_v.xml:1698"
2_V_H.35,,(ok),"handschriftendatierung_v.xml:1599, handschriftendatierung_v.xml:1680, handschriftendatierung_v.xml:1704, handschriftendatierung_v.xml:1711, handschriftendatierung_v.xml:2032, wa/15_2/V.xml:252, wa/15_2/V.xml:287, wa/15_2/V.xml:309"
2_V_H.36,,(ok),"handschriftendatierung_v.xml:1607, handschriftendatierung_v.xml:1673, handschriftendatierung_v.xml:1718, wa/15_2/V.xml:257"
2_V_H.37,,(ok),"handschriftendatierung_v.xml:1615, handschriftendatierung_v.xml:1623, handschriftendatierung_v.xml:1631, handschriftendatierung_v.xml:1663, handschriftendatierung_v.xml:1728, handschriftendatierung_v.xml:1734"
2_V_H.37a,,(ok),"wa/15_2/V.xml:276, wa/15_2/V.xml:282"
2_V_H.37b,,(ok),"handschriftendatierung_v.xml:1712, handschriftendatierung_v.xml:1822, handschriftendatierung_v.xml:1829, handschriftendatierung_v.xml:2007, handschriftendatierung_v.xml:2012, handschriftendatierung_v.xml:2019, handschriftendatierung_v.xml:2026, handschriftendatierung_v.xml:2033, handschriftendatierung_v.xml:2040, handschriftendatierung_v.xml:2046, wa/15_2/V.xml:288"
2_V_H.37c,,(ok),"handschriftendatierung_v.xml:1786, handschriftendatierung_v.xml:1838, handschriftendatierung_v.xml:2018, wa/15_2/V.xml:283"
2_V_H.37g,,(ok),"handschriftendatierung_v.xml:2086, handschriftendatierung_v.xml:2100, handschriftendatierung_v.xml:2112, handschriftendatierung_v.xml:2119, wa/15_2/V.xml:294, wa/15_2/V.xml:304"
2_V_H.38,,(ok),"handschriftendatierung_v.xml:1743, handschriftendatierung_v.xml:1750, wa/15_2/V.xml:298"
2_V_H.38a,,(ok),"handschriftendatierung_v.xml:2125, handschriftendatierung_v.xml:2131, handschriftendatierung_v.xml:2137"
2_V_H.4,,(ok),"wa/15_2/V.xml:37, wa/15_2/V.xml:60"
2_V_H.5,,(ok),"handschriftendatierung_v.xml:186, handschriftendatierung_v.xml:216, handschriftendatierung_v.xml:222, handschriftendatierung_v.xml:230, handschriftendatierung_v.xml:236, handschriftendatierung_v.xml:276, handschriftendatierung_v.xml:349, handschriftendatierung_v.xml:390, handschriftendatierung_v.xml:617, wa/15_2/V.xml:42"
2_V_H.6,,(ok),"handschriftendatierung_v.xml:192, handschriftendatierung_v.xml:237, handschriftendatierung_v.xml:246, handschriftendatierung_v.xml:255, handschriftendatierung_v.xml:264, handschriftendatierung_v.xml:277, handschriftendatierung_v.xml:285, handschriftendatierung_v.xml:296, handschriftendatierung_v.xml:326, handschriftendatierung_v.xml:396, handschriftendatierung_v.xml:618, wa/15_2/V.xml:43"
2_V_H.7,,(ok),"handschriftendatierung_v.xml:204, handschriftendatierung_v.xml:303, handschriftendatierung_v.xml:309, handschriftendatierung_v.xml:317, handschriftendatierung_v.xml:327, handschriftendatierung_v.xml:336, handschriftendatierung_v.xml:343, handschriftendatierung_v.xml:350, handschriftendatierung_v.xml:403, handschriftendatierung_v.xml:469, handschriftendatierung_v.xml:620, wa/15_2/V.xml:44, wa/15_2/V.xml:49"
2_V_H.8,,(ok),wa/15_2/V.xml:48
2_V_H.9,,(ok),"handschriftendatierung_v.xml:163, handschriftendatierung_v.xml:179, handschriftendatierung_v.xml:427, handschriftendatierung_v.xml:446, handschriftendatierung_v.xml:455, handschriftendatierung_v.xml:460, handschriftendatierung_v.xml:470, handschriftendatierung_v.xml:479, handschriftendatierung_v.xml:489, handschriftendatierung_v.xml:512, handschriftendatierung_v.xml:621, handschriftendatierung_v.xml:1118"
A,,(ok),"print.xml:9, print.xml:23, print.xml:28"
B,,(ok),print.xml:12
B.a,,(ok),print.xml:14
C.2alpha_4,,(ok),print.xml:17
D.1,,(ok),print.xml:11
D.2,,(ok),print.xml:13
H_P1,,(ok),"handschriftendatierung_pre1800.xml:155, handschriftendatierung_pre1800.xml:162, handschriftendatierung_pre1800.xml:169, handschriftendatierung_pre1800.xml:175, handschriftendatierung_pre1800.xml:182"
H_P101,,(ok),"handschriftendatierung_i.xml:65, handschriftendatierung_i.xml:712, handschriftendatierung_i.xml:718, handschriftendatierung_i.xml:731"
H_P101a,,(ok),"handschriftendatierung_i.xml:726, handschriftendatierung_i.xml:732"
H_P102,,(ok),"handschriftendatierung_i.xml:73, handschriftendatierung_i.xml:146, handschriftendatierung_i.xml:740, handschriftendatierung_i.xml:745, handschriftendatierung_i.xml:750"
H_P105,,(ok),"handschriftendatierung_i.xml:766, handschriftendatierung_i.xml:773, handschriftendatierung_i.xml:787"
H_P106,,(ok),"handschriftendatierung_i.xml:780, handschriftendatierung_i.xml:794, handschriftendatierung_i.xml:801"
H_P107,,(ok),"handschriftendatierung_i.xml:879, handschriftendatierung_i.xml:884"
H_P108b,,(ok),handschriftendatierung_i.xml:809
H_P108c,,(ok),"handschriftendatierung_i.xml:82, handschriftendatierung_i.xml:817"
H_P11,,(ok),handschriftendatierung_pre1800.xml:208
H_P110a,,(ok),"handschriftendatierung_i.xml:90, handschriftendatierung_i.xml:825"
H_P121a,,(ok),handschriftendatierung_pre1800.xml:514
H_P123.1,,(ok),handschriftendatierung_ii.xml:677
H_P123.2,,(ok),handschriftendatierung_ii.xml:661
H_P123.5,,(ok),handschriftendatierung_ii.xml:669
H_P124,,(ok),"handschriftendatierung_ii.xml:202, handschriftendatierung_ii.xml:696"
H_P125,,(ok),"handschriftendatierung_ii.xml:697, handschriftendatierung_ii.xml:704"
H_P126,,(ok),handschriftendatierung_ii.xml:712
H_P13,,(ok),handschriftendatierung_uncertain.xml:73
H_P14,,(ok),handschriftendatierung_pre1800.xml:217
H_P140,,(ok),"handschriftendatierung_ii.xml:719, handschriftendatierung_iii.xml:273"
H_P149,,(ok),handschriftendatierung_ii.xml:726
H_P157,,(ok),handschriftendatierung_ii.xml:733
H_P159,,(ok),handschriftendatierung_ii.xml:742
H_P160,,(ok),handschriftendatierung_ii.xml:751
H_P161,,(ok),handschriftendatierung_ii.xml:760
H_P163,,(ok),"handschriftendatierung_iii.xml:1258, handschriftendatierung_iii.xml:1264, handschriftendatierung_iii.xml:1269, handschriftendatierung_iii.xml:1275, handschriftendatierung_iii.xml:1281, handschriftendatierung_iii.xml:1287, handschriftendatierung_iii.xml:1293, handschriftendatierung_iii.xml:1299, handschriftendatierung_iii.xml:1305, handschriftendatierung_iii.xml:1311, handschriftendatierung_iii.xml:1317"
H_P164a,,(ok),"handschriftendatierung_iii.xml:1335, handschriftendatierung_iii.xml:1437"
H_P165,,(ok),handschriftendatierung_iii.xml:1343
H_P166a,,(ok),handschriftendatierung_iii.xml:1351
H_P168,,(ok),"handschriftendatierung_iii.xml:1407, handschriftendatierung_iii.xml:1414"
H_P176a,,(ok),"handschriftendatierung_iii.xml:1430, handschriftendatierung_iii.xml:1436"
H_P179a,,(ok),"handschriftendatierung_iv.xml:551, handschriftendatierung_iv.xml:563, handschriftendatierung_iv.xml:571, handschriftendatierung_iv.xml:576, handschriftendatierung_iv.xml:582, handschriftendatierung_iv.xml:590"
H_P180,,(ok),"handschriftendatierung_iv.xml:591, handschriftendatierung_iv.xml:597"
H_P181,,(ok),"handschriftendatierung_iv.xml:188, handschriftendatierung_iv.xml:606"
H_P188,,(ok),"handschriftendatierung_iv.xml:622, handschriftendatierung_iv.xml:629"
H_P188a,,(ok),handschriftendatierung_iv.xml:615
H_P190,,(ok),handschriftendatierung_uncertain.xml:107
H_P190a,,(ok),handschriftendatierung_uncertain.xml:116
H_P194,,(ok),"handschriftendatierung_v.xml:2160, handschriftendatierung_v.xml:2184"
H_P195,,(ok),"handschriftendatierung_v.xml:2159, handschriftendatierung_v.xml:2183"
H_P196,,(ok),handschriftendatierung_v.xml:2194
H_P197a,,(ok),handschriftendatierung_v.xml:2202
H_P20,,(ok),"handschriftendatierung_uncertain.xml:17, handschriftendatierung_uncertain.xml:24, handschriftendatierung_uncertain.xml:32"
H_P204,,(ok),handschriftendatierung_v.xml:2208
H_P25,,(ok),handschriftendatierung_pre1800.xml:251
H_P26,,(ok),handschriftendatierung_pre1800.xml:258
H_P28,,(ok),handschriftendatierung_pre1800.xml:267
H_P3,,(ok),handschriftendatierung_pre1800.xml:192
H_P32,,(ok),handschriftendatierung_uncertain.xml:41
H_P4,,(ok),handschriftendatierung_uncertain.xml:8
H_P47,,(ok),handschriftendatierung_uncertain.xml:49
H_P50,,(ok),"handschriftendatierung_pre1800.xml:279, handschriftendatierung_pre1800.xml:286"
H_P6,,(ok),handschriftendatierung_pre1800.xml:572
H_P62a,,(ok),handschriftendatierung_uncertain.xml:57
H_P63,,(ok),handschriftendatierung_pre1800.xml:350
H_P65,,(ok),"handschriftendatierung_i.xml:836, handschriftendatierung_i.xml:842"
H_P67,,(ok),handschriftendatierung_pre1800.xml:311
H_P68,,(ok),"handschriftendatierung_pre1800.xml:319, handschriftendatierung_pre1800.xml:327"
H_P68_Var,,(ok),handschriftendatierung_pre1800.xml:326
H_P69,,(ok),handschriftendatierung_i.xml:856
H_P75,,(ok),handschriftendatierung_i.xml:871
H_P8,,(ok),handschriftendatierung_pre1800.xml:200
H_P81,,(ok),handschriftendatierung_uncertain.xml:65
H_P82,,(ok),"handschriftendatierung_pre1800.xml:371, handschriftendatierung_uncertain.xml:25"
H_P84,,(ok),"handschriftendatierung_iii.xml:384, handschriftendatierung_iii.xml:1235, handschriftendatierung_iii.xml:1242, handschriftendatierung_iii.xml:1250"
H_P9,,(ok),handschriftendatierung_pre1800.xml:561
H_P91,,(ok),"handschriftendatierung_pre1800.xml:381, handschriftendatierung_pre1800.xml:387, handschriftendatierung_pre1800.xml:393"
H_P93,,(ok),"handschriftendatierung_pre1800.xml:437, handschriftendatierung_pre1800.xml:444, handschriftendatierung_pre1800.xml:451, handschriftendatierung_pre1800.xml:459"
H_P96,,(ok),handschriftendatierung_v.xml:2145
H_P97,,(ok),"handschriftendatierung_pre1800.xml:466, handschriftendatierung_pre1800.xml:474"
H_P98,,(ok),"handschriftendatierung_pre1800.xml:483, handschriftendatierung_pre1800.xml:491, handschriftendatierung_pre1800.xml:498, handschriftendatierung_pre1800.xml:506"
H_P99.1,,(ok),handschriftendatierung_ii.xml:775
H_P99.2,,(ok),"handschriftendatierung_ii.xml:768, handschriftendatierung_ii.xml:776"
J.2,,(ok),print.xml:10
R_1,,(ok),handschriftendatierung_pre1800.xml:25
S,,(ok),print.xml:8
T_1_H.0,,(ok),handschriftendatierung_pre1800.xml:72
T_1_H.1,,(ok),handschriftendatierung_pre1800.xml:79
T_2_H,,(ok),handschriftendatierung_pre1800.xml:88
T_3_H.1,,(ok),handschriftendatierung_pre1800.xml:107
T_4_H.1,,(ok),handschriftendatierung_pre1800.xml:96
T_4_H.2,,(ok),handschriftendatierung_pre1800.xml:114
T_4_H.3,,(ok),handschriftendatierung_pre1800.xml:122
T_5_H.1,,(ok),handschriftendatierung_pre1800.xml:129
T_5_H.2,,(ok),handschriftendatierung_pre1800.xml:137
faust://inscription/faustedition/1_H.10/i_uebrige,,(ok),"handschriftendatierung_pre1800.xml:533, handschriftendatierung_pre1800.xml:541, handschriftendatierung_pre1800.xml:548"
faust://inscription/faustedition/2_III_H.27/i_r,,(ok),handschriftendatierung_iii.xml:597
faust://inscription/faustedition/2_III_H.27/i_v,,(ok),handschriftendatierung_iii.xml:604
faust://inscription/faustedition/2_III_H.49/i_r_u,,(ok),handschriftendatierung_iii.xml:819
faust://inscription/faustedition/2_III_H.49/i_uebrige,,(ok),"handschriftendatierung_iii.xml:813, handschriftendatierung_iii.xml:827"
