,uri,label,kind,inscription_of,position,rank,max_before_date,max_abs_before_date,min_after_date,min_abs_after_date,avg,avg_year,yearlabel,baseline_position
2 II H.4a*,faust://document/faustedition/2_II_H.4a_,2 II H.4a*,Witness,,558,764,1829-09-01,1829-09-01,1830-03-02,1830-03-02,1829-12-01,1829.0,1829 … 1830,218
2 I H.50a,faust://document/faustedition/2_I_H.50a,2 I H.50a,Witness,,559,765,1829-09-02,1829-09-02,1830-03-03,1830-03-03,1829-12-02,1829.0,1829 … 1830,200
2 I H.50b,faust://document/faustedition/2_I_H.50b,2 I H.50b,Witness,,560,765,1829-09-02,1829-09-02,1829-12-01,1829-12-01,1829-10-17,1829.0,1829,201
2 I H.50,faust://document/faustedition/2_I_H.50,2 I H.50,Witness,,561,768,1829-09-02,,,,1829-09-02,1829.0,1829,199
2 I H.48,faust://document/faustedition/2_I_H.48,2 I H.48,Witness,,562,769,1829-09-04,1829-09-04,1829-10-01,1829-10-01,1829-09-17,1829.0,1829,197
2 I H.47,faust://document/faustedition/2_I_H.47,2 I H.47,Witness,,563,773,1829-09-04,1829-09-02,1830-03-03,1830-03-03,1829-12-03,1829.0,1829 … 1830,196
2 I H.60,faust://document/faustedition/2_I_H.60,2 I H.60,Witness,,564,769,1829-09-04,1829-08-29,1830-01-18,1830-02-27,1829-11-11,1829.0,1829 … 1830,211
H P149,faust://document/faustedition/H_P149,H P149,Witness,,565,770,1829-10-16,1829-10-16,1829-10-18,1829-10-18,1829-10-17,1829.0,1829,609
2 II H.9,faust://document/faustedition/2_II_H.9,2 II H.9,Witness,,566,777,1829-11-27,1829-11-27,1829-12-02,1829-12-02,1829-11-29,1829.0,1829,227
2 II H.16a,faust://document/faustedition/2_II_H.16a,2 II H.16a,Witness,,567,776,1829-11-27,1829-11-27,1829-12-02,1829-12-02,1829-11-29,1829.0,1829,237
2 II H.6,faust://document/faustedition/2_II_H.6,2 II H.6,Witness,,568,776,1829-11-30,1829-11-30,1830-05-31,1830-05-31,1830-03-01,1830.0,1829 … 1830,221
2 II H.10,faust://document/faustedition/2_II_H.10,2 II H.10,Witness,,569,779,1829-11-30,1829-11-30,1830-01-18,1830-05-31,1829-12-24,1829.0,1829 … 1830,228
2 II H.11,faust://document/faustedition/2_II_H.11,2 II H.11,Witness,,570,783,1829-11-30,1829-11-30,1830-01-18,1830-05-31,1829-12-24,1829.0,1829 … 1830,229
2 I H.56,faust://document/faustedition/2_I_H.56,2 I H.56,Witness,,571,789,1829-11-30,1829-11-27,1830-01-18,1830-02-26,1829-12-24,1829.0,1829 … 1830,207
2 I H.59,faust://document/faustedition/2_I_H.59,2 I H.59,Witness,,572,787,1829-11-30,1829-08-28,1830-02-26,1830-02-26,1830-01-13,1830.0,1829 … 1830,210
2 II H.12,faust://document/faustedition/2_II_H.12,2 II H.12,Witness,,573,786,1829-11-30,,1830-01-18,,1829-12-24,1829.0,1829 … 1830,231
H P161,faust://document/faustedition/H_P161,H P161,Witness,,574,785,1829-11-30,,,,1829-11-30,1829.0,1829,614
2 II H.15,faust://document/faustedition/2_II_H.15,2 II H.15,Witness,,575,783,1829-12-25,1829-12-25,1830-01-18,,1830-01-06,1830.0,1829 … 1830,235
2 II H.8:1,faust://document/faustedition/2_II_H.8_1,2 II H.8:1,Witness,,576,810,1829-12-25,1829-07-20,1830-01-18,1830-01-18,1830-01-06,1830.0,1829 … 1830,225
2 II H.13,faust://document/faustedition/2_II_H.13,2 II H.13,Witness,,577,799,1829-12-25,1829-07-20,1830-01-18,1830-01-18,1830-01-06,1830.0,1829 … 1830,232
2 II H.63,faust://document/faustedition/2_II_H.63,2 II H.63,Witness,,578,786,1829-12-28,1829-12-28,1830-06-26,1830-06-28,1830-03-28,1830.0,1829 … 1830,288
gsa_2: GSA_25_W_1772,faust://document/gsa_2/GSA_25_W_1772,gsa_2: GSA_25_W_1772,UnknownRef,,579,786,1829-12-31,1829-12-31,1830-02-01,1830-02-01,1830-01-16,1830.0,1830,661
2 II H.38,faust://document/faustedition/2_II_H.38,2 II H.38,Witness,,580,789,1830-01-11,1830-01-11,1830-01-21,1830-07-12,1830-01-16,1830.0,1830,262
2 II H.18,faust://document/faustedition/2_II_H.18,2 II H.18,Witness,,581,794,1830-01-11,,1830-01-21,,1830-01-16,1830.0,1830,239
2 II H.20,faust://document/faustedition/2_II_H.20,2 II H.20,Witness,,582,799,1830-01-11,1829-08-01,1830-01-30,1830-01-30,1830-01-20,1830.0,1830,241
2 II H.27:1,faust://document/faustedition/2_II_H.27_1,2 II H.27:1,Witness,,583,802,1830-01-11,1829-08-02,1830-01-31,1830-01-31,1830-01-21,1830.0,1830,248
H P124,faust://document/faustedition/H_P124,H P124,Witness,,584,797,1830-01-11,1829-08-09,1830-02-07,1830-02-07,1830-01-24,1830.0,1830,603
2 II H.17,faust://document/faustedition/2_II_H.17,2 II H.17,Witness,,585,814,1830-01-16,1830-01-16,1830-01-21,1830-01-21,1830-01-18,1830.0,1830,238
2 II H.27:2,faust://document/faustedition/2_II_H.27_2,2 II H.27:2,Witness,,586,818,1830-01-24,1830-01-24,1830-01-30,1830-01-30,1830-01-27,1830.0,1830,249
2 II H.28 alpha,faust://inscription/faustedition/2_II_H.28/alpha,2 II H.28 alpha,Inscription,2 II H.28,587,814,1830-01-24,,,,1830-01-24,1830.0,1830,23
2 II H.28,faust://document/faustedition/2_II_H.28,2 II H.28,Witness,,588,820,1830-01-24,,1830-06-26,,1830-04-10,1830.0,1830,250
2 II H.45,faust://document/faustedition/2_II_H.45,2 II H.45,Witness,,589,811,1830-01-24,1830-01-24,1830-01-30,1830-01-30,1830-01-27,1830.0,1830,269
2 II H.42,faust://document/faustedition/2_II_H.42,2 II H.42,Witness,,590,818,1830-01-31,1830-01-31,1830-03-29,1830-03-29,1830-02-28,1830.0,1830,266
