,uri,label,kind,inscription_of,position,start_pos,end_pos,rank,max_before_date,max_abs_before_date,min_after_date,min_abs_after_date,avg,avg_year,yearlabel,baseline_position
2 III H.21,faust://document/faustedition/2_III_H.21,2 III H.21,Witness,,349,697,698,348,1825-03-01,,1825-04-06,,1825-03-19,1825.0,1825,348
2 III H.24,faust://document/faustedition/2_III_H.24,2 III H.24,Witness,,350,699,700,346,1825-03-01,,1825-04-06,,1825-03-19,1825.0,1825,355
2 III H.17,faust://document/faustedition/2_III_H.17,2 III H.17,Witness,,351,701,702,360,1825-03-01,1825-02-25,1825-04-06,1825-04-06,1825-03-19,1825.0,1825,344
2 III H.24a,faust://document/faustedition/2_III_H.24a,2 III H.24a,Witness,,352,703,704,348,1825-03-01,,,,1825-03-01,1825.0,1825,356
2 III H.1 alpha,faust://inscription/faustedition/2_III_H.1/alpha,2 III H.1 alpha,Inscription,2 III H.1,353,705,706,362,1825-03-01,,,,1825-03-01,1825.0,1825,35
H P176a,faust://document/faustedition/H_P176a,H P176a,Witness,,354,707,708,328,1825-03-01,1825-03-01,1825-04-04,1825-04-06,1825-03-18,1825.0,1825,637
inscription: wa P230,faust://inscription/wa/P230,inscription: wa P230,UnknownRef,,355,709,710,328,1825-03-01,1825-03-01,1825-04-01,1825-04-01,1825-03-16,1825.0,1825,702
2 III H.31,faust://document/faustedition/2_III_H.31,2 III H.31,Witness,,356,711,712,390,1825-03-08,1825-03-08,1825-04-01,1825-04-01,1825-03-20,1825.0,1825,364
2 III H.33,faust://document/faustedition/2_III_H.33,2 III H.33,Witness,,357,713,714,392,1825-03-08,,1825-04-06,,1825-03-22,1825.0,1825,366
2 III H.25a,faust://document/faustedition/2_III_H.25a,2 III H.25a,Witness,,358,715,716,410,1825-03-13,1825-03-13,1825-04-06,1825-09-11,1825-03-25,1825.0,1825,358
2 III H.25,faust://document/faustedition/2_III_H.25,2 III H.25,Witness,,359,717,718,412,1825-03-13,,1825-04-06,,1825-03-25,1825.0,1825,357
2 V H.13 i_v,faust://inscription/faustedition/2_V_H.13/i_v,2 V H.13 i_v,Inscription,2 V H.13,360,719,720,390,1825-03-13,1825-03-13,1825-03-17,,1825-03-15,1825.0,1825,77
2 V H.14,faust://document/faustedition/2_V_H.14,2 V H.14,Witness,,361,721,722,400,1825-03-13,1825-03-13,1825-03-17,1825-04-01,1825-03-15,1825.0,1825,511
2 V H.2,faust://document/faustedition/2_V_H.2,2 V H.2,Witness,,362,723,724,430,1825-03-13,1825-03-12,1825-03-17,1825-03-17,1825-03-15,1825.0,1825,497
2 III H.27 i_r,faust://inscription/faustedition/2_III_H.27/i_r,2 III H.27 i_r,Inscription,2 III H.27,363,725,726,439,1825-03-24,1825-03-24,1825-04-05,1825-04-05,1825-03-30,1825.0,1825,53
2 III H.42,faust://document/faustedition/2_III_H.42,2 III H.42,Witness,,364,727,728,442,1825-03-28,1825-03-28,1825-03-30,1825-03-30,1825-03-29,1825.0,1825,377
2 III H.37,faust://document/faustedition/2_III_H.37,2 III H.37,Witness,,365,729,730,444,1825-03-28,,1825-04-06,,1825-04-01,1825.0,1825,371
2 III H.37a,faust://document/faustedition/2_III_H.37a,2 III H.37a,Witness,,366,731,732,446,1825-03-28,,1826-04-23,,1825-10-09,1825.0,1825 … 1826,372
2 III H.41,faust://document/faustedition/2_III_H.41,2 III H.41,Witness,,367,733,734,446,1825-03-28,1824-11-17,1825-04-06,1825-05-18,1825-04-01,1825.0,1825,376
